entry,exit_ema,vol_floor,side,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months,selection_score
96,16,0.3,both,-96.26353412373948,-62.917175536405345,-1.9345316287781347,-97.34786907070462,0.9145795308690321,1283.0,15.0,40.0,-2.908010319485181
48,48,0.45,both,-98.73820815490619,-73.27710494189294,-1.9314948316413894,-99.15204374265356,0.9433072947188125,1264.0,17.5,40.0,-2.9230152690679247
64,32,0.3,both,-98.34554881880511,-71.00021072542191,-1.9831934991156082,-98.73959379040902,0.9373432613590438,1476.0,20.0,40.0,-2.970589437019698
32,32,0.45,long,-92.5682160677599,-54.36488933081252,-2.0352641894471146,-93.66442759282916,0.9230744960401407,916.0,27.500000000000004,40.0,-2.971908465375406
96,16,0.45,both,-96.37886754455712,-63.26641193520823,-2.0345557107340477,-97.11674836041605,0.9001568678114691,1012.0,15.0,40.0,-3.0057231943382083
32,64,0.3,both,-99.4460448997025,-79.1557124172988,-2.043592517395252,-99.5425329858692,0.9519790739032414,2019.0,20.0,40.0,-3.0390178472539437
96,16,0.6,both,-95.57261514915605,-60.96887161439497,-2.086280403924153,-96.50315719147316,0.8736595899473224,650.0,17.5,40.0,-3.051311975838885
48,48,0.6,both,-98.60922457350095,-72.48051779675639,-2.076083789064663,-99.08044325809249,0.9261089356587549,826.0,15.0,40.0,-3.0668882216455877
32,16,0.6,long,-88.36160793499772,-47.74965466298563,-2.1790007407222807,-90.32955206913317,0.8839634894686818,680.0,20.0,40.0,-3.0822962614136125
64,32,0.45,both,-98.45067971636713,-71.56915448954122,-2.1025628288330136,-98.76391279206503,0.926874289040591,1172.0,17.5,40.0,-3.090201956753664
32,64,0.45,both,-99.41439634862861,-78.80325460193805,-2.105228556474787,-99.52915958617433,0.9454356744417851,1584.0,15.0,40.0,-3.1005201523365304
32,16,0.3,long,-92.29558857017217,-53.86599645952915,-2.1664174596852233,-93.45824236543739,0.9125350344674584,1336.0,20.0,40.0,-3.100999883339597
16,32,0.6,long,-94.26224932345791,-57.79229142613491,-2.2119691576550076,-95.26936868186577,0.9125483838726031,944.0,15.0,40.0,-3.164662844473665
64,32,0.6,both,-98.08787281968718,-69.70529962997142,-2.187260201650057,-98.6300202282766,0.9069263620382755,770.0,10.0,40.0,-3.173560403932823
32,64,0.6,both,-99.31033296566379,-77.73064940626927,-2.2330616636849587,-99.47939124941828,0.9301308936939776,1049.0,7.5,40.0,-3.2278555761791417
48,32,0.3,both,-99.20593618084523,-76.76287741998554,-2.267784245477719,-99.40752481585892,0.9334741126652792,1749.0,17.5,40.0,-3.261859493636308
48,32,0.45,both,-99.11331448223784,-75.97614377670213,-2.3001981203729405,-99.32530351544067,0.9255976175404605,1376.0,17.5,40.0,-3.293451155527347
32,16,0.45,long,-92.78168208707008,-54.76451607901572,-2.3720149926623013,-93.96870842936623,0.8947784776459451,1047.0,20.0,40.0,-3.3117020769559637
32,48,0.3,both,-99.66080837866228,-82.02390412154044,-2.353948902600908,-99.72770311793816,0.9424658981465953,2135.0,17.5,40.0,-3.35122593378029
32,48,0.45,both,-99.60963878182653,-81.24524024610504,-2.387139408418001,-99.699490142776,0.9356067501353617,1669.0,15.0,40.0,-3.384134309845761
48,32,0.6,both,-98.96909478560222,-74.8582746253169,-2.4465606999576215,-99.3021277578816,0.9035036743390492,901.0,15.0,40.0,-3.4395819775364376
32,48,0.6,both,-99.48553209177271,-79.61576319925341,-2.4797092566150107,-99.6115700096713,0.919056112150008,1095.0,7.5,40.0,-3.475824956711724
64,16,0.3,both,-98.87379817639832,-74.17838917808486,-2.519378862035903,-99.01242129575355,0.9034679577290449,1698.0,7.5,40.0,-3.5095030749934386
64,16,0.6,both,-98.20020729289566,-70.25382555320694,-2.5491912770906135,-98.4986196188962,0.8672638642119879,874.0,10.0,40.0,-3.5341774732795757
