family,anchor,opening,buffer_atr,max_hold,side,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months,selection_score
ORB,13,4,0.5,16,both,-85.67193226103939,-44.36605831401103,-1.565770220644389,-86.22962550081536,0.934521012642352,1184.0,25.0,40,-2.4280664756525425
ORB,13,4,0.25,16,both,-85.28457081674941,-43.91635345697175,-1.571399449379009,-86.7102977525792,0.9351163557403582,1189.0,17.5,40,-2.438502426904801
ORB,0,4,0.0,32,both,-92.111123921927,-53.53538835062108,-1.5536999735065364,-92.31765465943738,0.9503423539086351,1205.0,25.0,40,-2.47687652010091
ORB,0,4,0.25,32,both,-92.55968799909824,-54.34909148192264,-1.5749521487208706,-92.9425438283339,0.9497268479007513,1202.0,25.0,40,-2.5043775870042095
ORB,0,4,0.25,32,long,-87.58761874820893,-46.72443621600839,-1.6294162466510742,-87.58976426672916,0.9427499847555558,885.0,35.0,40,-2.5053138893183657
ORB,0,4,0.0,16,long,-80.97794868282102,-39.398702527139484,-1.7769745376848538,-81.94508469685044,0.9132670905203241,918.0,27.500000000000004,40,-2.596425384653358
ORB,13,4,0.0,16,long,-81.00160078081741,-39.42145339585823,-1.786911000973348,-81.46444747214558,0.9184993321940758,908.0,32.5,40,-2.601555475694804
ORB,13,4,0.0,16,both,-88.30946534812261,-47.679116228336916,-1.8202669125215913,-88.71136670624105,0.9264646486463415,1189.0,17.5,40,-2.707380579584002
ORB,13,4,0.25,8,both,-82.45077600561224,-40.85484234325442,-1.898512195753234,-82.45077600561224,0.892331038483696,1189.0,22.5,40,-2.7230199558093564
ORB,0,4,0.5,32,long,-89.75666631079558,-49.724776325357624,-1.826629354173697,-89.7778585618633,0.9348561891168639,846.0,22.5,40,-2.72440793979233
ORB,0,4,0.5,16,both,-90.07540648993798,-50.20213066209265,-1.9770859840641588,-90.4921211893834,0.909046025636846,1201.0,22.5,40,-2.8820071959579927
ORB,0,4,0.5,16,long,-84.03901876415509,-42.524116587067816,-2.0468564358976318,-84.22284407817638,0.8977751349470615,846.0,25.0,40,-2.8890848766793957
ORB,0,4,0.5,32,both,-95.85296321685753,-61.73187051505751,-1.954606454213106,-95.98769483097391,0.9383569327740463,1201.0,17.5,40,-2.914483402522845
ORB,13,4,0.5,8,both,-85.32035986309047,-43.957553498654875,-2.0631714663105565,-85.32035986309047,0.8813867206052393,1184.0,25.0,40,-2.9163750649414615
ORB,0,4,0.25,16,long,-84.90765514862632,-43.48664128174773,-2.083394266044553,-85.09215400689833,0.8975838287001137,885.0,17.5,40,-2.934315806113536
ORB,13,4,0.0,8,long,-77.09588943185828,-35.90506693951549,-2.1803569532273435,-77.31138516812894,0.8682379957222642,908.0,35.0,40,-2.953470804908633
ORB,0,4,0.25,8,both,-87.70224890133146,-46.87340394933093,-2.2856620339141096,-87.80524836599713,0.8460215309276299,1202.0,22.5,40,-3.163714517574081
ORB,0,4,0.5,8,both,-89.03085749792648,-48.675249068150926,-2.414904785833168,-89.38730324909949,0.8405588425144372,1201.0,17.5,40,-3.3087778183241627
ORB,0,4,0.0,8,both,-89.12870554378594,-48.8138539865674,-2.443692148589047,-89.27937339567211,0.8349817011444726,1205.0,15.0,40,-3.3364858825457677
ORB,13,4,0.0,8,both,-89.5847630904326,-49.471622767978396,-2.5763752169751073,-89.5847630904326,0.8591325129439499,1189.0,22.5,40,-3.4722228478794332
ORB,0,4,0.0,8,long,-83.81658604427852,-42.28354827014643,-2.6557441419811547,-84.39772466249109,0.8251759381400374,918.0,15.0,40,-3.4997213886060656
ORB,0,4,0.25,8,long,-84.14819496083058,-42.64305140487,-2.703789452319441,-84.14819496083058,0.8192409372242092,885.0,10.0,40,-3.5452714019277467
ORB,0,4,0.5,8,long,-84.85361722218988,-43.42565023034515,-2.870672169750477,-84.85361722218988,0.8094945825479454,846.0,15.0,40,-3.719208341972376
