family,anchor,opening,z_entry,max_hold,side,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months,selection_score
VWAP_MR,0,8,3.0,16,both,-53.85259333483099,-20.81542090569074,-1.7305157093982821,-54.77127233467862,0.9185442440616649,360.9360417360417,17.5,40,-2.2782284327450686
VWAP_MR,13,8,3.0,8,both,-61.92610007915738,-25.280400749652465,-1.6483422422714904,-63.061803956114446,0.9019298387815128,611.25,22.5,40,-2.278960281832635
VWAP_MR,0,8,3.0,8,both,-61.059046212354474,-24.770898502995355,-1.6720760810237638,-61.66598027954235,0.9156790824196221,724.625,22.5,40,-2.2887358838191876
VWAP_MR,0,8,1.5,8,long,-85.24027383472115,-43.86545592448049,-1.5008713374009484,-85.39302186204219,0.9414470833343853,1358.125,32.5,40,-2.3548015560213704
VWAP_MR,0,8,2.0,4,long,-84.15550158451894,-42.65103151869892,-1.6017267414943746,-84.22935704028424,0.9208771845428705,1697.5,25.0,40,-2.444020311897217
VWAP_MR,13,8,2.5,8,both,-80.31338447369151,-38.76738061678734,-1.631660895346308,-81.74022148646792,0.9210839620587791,1152.1875,15.0,40,-2.449063110210987
VWAP_MR,13,8,1.5,8,long,-89.31601002122859,-49.081625541164,-1.7415590770443365,-89.76361778841947,0.9243279498213575,1177.9375,20.0,40,-2.639195254928531
VWAP_MR,13,8,2.0,16,both,-85.62402499918754,-44.309984200302225,-1.8115945512925373,-86.55157988941366,0.9376745338490902,1042.4197864635362,25.0,40,-2.677110350186674
VWAP_MR,0,8,2.5,16,both,-76.84489263868464,-35.693893548537005,-1.9996853927730402,-77.19251549898978,0.9225602531983808,695.7309829059828,20.0,40,-2.771610547762938
VWAP_MR,13,8,2.0,4,long,-89.60592819232396,-49.50263335851825,-1.8802407991486254,-89.72419430523846,0.8945387983254424,1396.625,10.0,40,-2.77748274220101
VWAP_MR,0,8,3.0,4,both,-80.6152420004254,-39.05226438184489,-2.1572157954923368,-80.78856512776899,0.8744246738928022,1286.0,15.0,40,-2.965101446770027
VWAP_MR,13,8,3.0,4,both,-81.35952377494984,-39.76817763472145,-2.179012868564342,-81.59212952507856,0.8569757324043416,1095.25,15.0,40,-2.9949341638151274
VWAP_MR,0,8,2.5,8,both,-86.71888095048558,-45.625569334168894,-2.23951750667683,-86.83533251848763,0.9093692010705909,1298.5,10.0,40,-3.1078708318617063
VWAP_MR,13,8,1.5,16,both,-94.45480241912823,-58.224876850561614,-2.1642836507685907,-94.78401849467345,0.9406096365112006,1512.9549512987012,20.0,40,-3.1121238357153254
VWAP_MR,0,8,2.0,16,both,-90.14853791059538,-50.31315996266088,-2.260481802353249,-90.2791049178025,0.929838549069194,1144.3108863358864,17.5,40,-3.163272851531274
VWAP_MR,0,8,1.5,4,long,-96.13861778190133,-62.547311076328405,-2.43054708811548,-96.15579852722435,0.9058764844343848,2139.5,15.0,40,-3.3921050733877234
