fast,slow,lookback,trend,return_%,cagr_%,sharpe,max_dd_%,exposure_%,entries,exits,orders
18,144,180,360,1898.570999516818,48.557481528880864,1.2158249715333513,-40.801283130402346,44.44176367694071,140,139,279
18,192,150,300,2072.948355544843,50.20889051548536,1.2152857671107908,-46.36783352609234,46.522709451716025,167,166,333
18,144,150,240,2019.8913655920257,49.718982140066935,1.2140603377814803,-43.485350890358774,46.54683635924965,157,156,313
30,192,90,300,1805.8361428064793,47.62763820860165,1.2113179039612891,-48.19826722073161,42.8131974184209,225,224,449
18,168,150,300,1989.179965008211,49.43052083134975,1.2087743848770691,-47.4490814374865,46.13064720429459,165,164,329
30,168,150,240,1974.771114877894,49.293913335540786,1.2029158186168594,-45.83325200129488,47.08969177875626,154,153,307
24,192,150,240,1967.801731110105,49.227542306232806,1.2017744346427683,-48.41232321403922,47.005247602388565,154,153,307
30,168,150,300,1957.1636254744717,49.125857912173565,1.2016018824770696,-45.95728153847989,46.42017009469811,160,159,319
30,168,90,300,1750.8662838214452,47.05775577609661,1.2003325991538025,-47.60995420655381,43.01224440557331,229,228,457
18,144,180,300,1851.7010728999849,48.09231365071405,1.1969591358848262,-39.78953602070321,45.88937812895832,155,154,309
24,168,150,300,1926.8783446796874,48.83385636451898,1.1941278567226818,-46.61874808008749,46.39001146028108,162,161,323
24,192,90,300,1699.3006447723278,46.50965264865437,1.190239682207948,-47.28526401922347,43.084625128174196,230,229,459
30,192,90,240,1698.576621293908,46.50186028216079,1.188155468272404,-47.8096614730717,43.41033837987816,219,218,437
24,192,150,300,1847.7341307557008,48.05249955918265,1.182497535015044,-46.97752220142093,46.52874117859943,163,162,325
18,144,150,300,1776.8390626410564,47.32882494815767,1.180503037358467,-45.69566140729344,45.400808251402374,162,161,323
24,192,90,240,1629.266179888397,45.742986433274034,1.1725637441469348,-46.91457719802477,43.89890825743411,226,225,451
30,168,90,240,1622.220716503065,45.66437552401346,1.1707990536616997,-46.91457719802487,44.0738283370529,228,227,455
