date,BH,REG,REG100,LEV,EQRISK
2010-12-29,1.3476733570391812,1.5754266523507174,1.7610586659298708,1.2239088396392201,2.282972753142008
2010-12-30,1.356901940110439,1.5862148419798676,1.7731180244584077,1.231523860963904,2.308823147911128
2010-12-31,1.3641624783284572,1.5947023922896895,1.7826056600797329,1.2383416706889592,2.329162793184136
2011-01-03,1.3692993739953216,1.6007074099756537,1.7893182470599964,1.2432359994879858,2.343481908046376
2011-01-04,1.366797649668776,1.597782900738836,1.7860491438444293,1.2408078834999194,2.3358821086593675
2011-01-05,1.3519984952813384,1.58048272771661,1.7667104970229999,1.2265925525504346,2.293004435024106
2011-01-06,1.3449825918249396,1.5722811548074196,1.757542535427051,1.2201042153367296,2.2726227631206184
2011-01-07,1.313038373585003,1.5349384466943283,1.7157997480787963,1.1893566809183507,2.181591693863518
2011-01-10,1.2815166470705261,1.4980896303104236,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-11,1.2795708614832126,1.4958150120151208,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-12,1.3038431251217422,1.5241892251353042,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-13,1.2790815919599743,1.495243057213858,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-14,1.2574333157379076,1.4699362785648962,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-17,1.2574778342697601,1.4699883206129472,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-18,1.2728884126885682,1.4880032467390152,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-19,1.2655500213307005,1.479424686311016,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-20,1.2701199029162618,1.4847668660093647,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-21,1.266762011214941,1.4808414993362486,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-24,1.2771580656385868,1.4929944599425806,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-25,1.2647383724877779,1.4784758709227688,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-27,1.246258947079336,1.4568734706404427,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-28,1.2257670668675869,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-01-31,1.2243772200195058,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-01,1.2046525787006113,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-02,1.207943692604153,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-03,1.229013770821061,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-04,1.1998825808852833,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-07,1.1999381747592066,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-08,1.1813808962109154,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-09,1.1682607419650308,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-10,1.1620898219595512,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-11,1.1808138821296124,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-14,1.2132807045007845,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-15,1.2188400918931086,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-16,1.2189957981728077,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-17,1.233394611518927,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
